ClassName,Name,Children,UnitType,FuncNo
Refinery,refinery,0,UnitType.Terran_Refinery,0
CommandCenter,command_center,0,UnitType.Terran_Command_Center,0
SupplyDepot,supply_depot,0,UnitType.Terran_Supply_Depot,0
Barracks,barracks,1,UnitType.Terran_Barracks,0
Bunker,bunker,1,UnitType.Terran_Bunker,0
EngineeringBay,engineering_bay,1,UnitType.Terran_Engineering_Bay,0
MissileTurret,missile_turret,1,UnitType.Terran_Missile_Turret,0
Academy,academy,1,UnitType.Terran_Academy,0
Factory,factory,1,UnitType.Terran_Factory,0
Starport,starport,1,UnitType.Terran_Starport,0
Armory,armory,1,UnitType.Terran_Armory,0
MachineShop,machine_shop,1,UnitType.Terran_Machine_Shop,0
ComsatStation,comsat_station,2,UnitType.Terran_Comsat_Station,0
ScienceFacility,science_facility,1,UnitType.Terran_Science_Facility,0
ControlTower,control_tower,1,UnitType.Terran_Control_Tower,0
PhysicsLab,physics_lab,1,UnitType.Terran_Physics_Lab,0
CovertOps,covert_ops,1,UnitType.Terran_Covert_Ops,0
NuclearSilo,nuclear_silo,2,UnitType.Terran_Nuclear_Silo,0
