ClassName,Name,Children,UnitType,FuncNo
Marine,marine,1,Terran_Marine,0
Vulture,vulture,1,Terran_Vulture,0
Medic,medic,1,Terran_Medic,0
Tank,tank,1,Terran_Siege_Tank_Siege_Mode,0
Valkyrie,valkyrie,1,Terran_Valkyrie,0
Firebat,firebat,1,Terran_Firebat,0
Goliath,goliath,1,Terran_Goliath,0
Wraith,wraith,1,Terran_Wraith,0
ScienceVessel,science_vessel,1,Terran_Science_Vessel,0
Dropship,dropship,1,Terran_Dropship,0
Ghost,ghost,1,Terran_Ghost,0
Battlecruiser,battlecruiser,1,Terran_Battlecruiser,0
Quantity,quantity,0,quantity,0
